  11.3873  -1.64183         0         0         0 -0.505845
  10.6706  -5.90417         0         0         0 -0.473849
   41.887  -10.5323         0         0         0 -0.512528
    42.06   -14.993         0         0         0 -0.221425
    60.53  -15.3123         0         0         0 -0.580703
   60.939   -15.709         0         0         0 -0.165048
  60.2332  -15.1236         0         0         0 -0.580703
  64.6741  -31.0792         0         0         0 -0.837593
   64.572    -31.22         0        -0        -0 -0.978615
   64.242   -30.652         0         0         0 -0.856495
   64.326   -30.336         0         0         0 -0.447953
    68.11   -33.554         0         0         0 -0.262744
  68.9975  -35.7245         0        -0        -0 -0.869694
  68.8696   -35.964         0         0         0 -0.826299
   68.871    -35.96         0         0         0 -0.370515
    74.165    -42.792          0          0          0 -0.0148403
  74.171  -42.793        0        0        0 -0.32237
   77.512   -52.352         0         0         0 0.0261769
  82.8821  -50.6396         0         0         0 -0.336637
